"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"67",6,"Caleb Williams",CHI,"QB10","23","54","116","66.2","14.6","+13"
"68",6,"C.J. Stroud",HOU,"QB11","23","46","93","66.5","13.8","+35"
"69",7,"Quinshon Judkins",CLE,"RB20","21","54","91","70.0","9.4","-24"
"70",7,"Jerry Jeudy",CLE,"WR32","26","52","92","70.5","9.6","+4"
"71",7,"Tyreek Hill",MIA,"WR33","31","55","96","73.3","8.2","-14"
"72",7,"Chuba Hubbard",CAR,"RB21","26","51","90","74.7","9.3","-14"
"73",7,"Davante Adams",LAR,"WR34","32","44","101","77.6","13.8","-3"
"74",7,"Matthew Golden",GB,"WR35","22","45","106","78.6","18.1","-3"
"75",7,"Mike Evans",TB,"WR36","31","60","99","78.9","8.7","-8"
"76",7,"Brandon Aiyuk",SF,"WR37","27","61","139","79.5","16.3","0"
"77",7,"Tucker Kraft",GB,"TE8","24","57","133","79.7","18.7","+20"
"78",7,"Jordan Love",GB,"QB12","26","56","110","80.7","15.7","+42"
"79",7,"David Montgomery",DET,"RB22","28","65","102","82.5","11.6","-1"
"80",7,"Luther Burden III",CHI,"WR38","21","61","105","82.7","12.1","-5"
"81",7,"David Njoku",CLE,"TE9","29","62","115","82.7","15.4","+25"
"82",7,"Mark Andrews",BAL,"TE10","29","53","138","85.3","23.8","+9"
"83",7,"Kyler Murray",ARI,"QB13","28","58","137","86.5","22.7","+11"
"84",7,"Dalton Kincaid",BUF,"TE11","25","68","114","87.5","14.0","+11"
"85",7,"Ricky Pearsall",SF,"WR39","24","58","116","87.8","13.4","-1"
"86",7,"Josh Downs",IND,"WR40","24","58","122","88.3","14.0","+3"
"87",7,"Alvin Kamara",NO,"RB23","30","63","117","88.3","11.6","-19"
"88",7,"Joe Mixon",HOU,"RB24","29","67","132","88.5","12.7","-23"
"89",7,"Jayden Higgins",HOU,"WR41","22","60","125","89.9","16.8","-8"
"90",8,"Brock Purdy",SF,"QB14","25","49","128","90.3","18.9","+36"
"91",8,"Khalil Shakir",BUF,"WR42","25","60","117","91.2","14.4","-3"
"92",8,"Chris Godwin",TB,"WR43","29","65","105","91.5","9.6","-6"
"93",8,"Baker Mayfield",TB,"QB15","30","60","132","91.7","17.6","+20"
"94",8,"Courtland Sutton",DEN,"WR44","29","68","111","93.0","11.6","-21"
"95",8,"Tre' Harris",LAC,"WR45","23","67","128","93.8","15.4","+3"
"96",8,"Jayden Reed",GB,"WR46","25","67","144","94.6","18.2","-9"
"97",8,"Tony Pollard",TEN,"RB25","28","73","119","96.7","10.8","+4"
"98",8,"Michael Pittman Jr.",IND,"WR47","27","83","113","97.5","7.7","+6"
